Nanoparticle_Type,Base_Fluid,Volume_Fraction (%),Temperature (°C),Flow_Velocity (m/s),Thermal_Conductivity (W/mK),Specific_Heat_Capacity (J/kgK),Density (kg/m³),Viscosity (Pa·s),Heat_Transfer_Coefficient (W/m²K)
Al2O3,Propylene Glycol,0.71,84,1.197,1.552,1473,1588,0.00413,4776.460312
ZnO,Propylene Glycol,0.22,71,2.823,1.483,1412,1917,0.00303,12843.21713
Al2O3,Ethylene Glycol,1.78,32,1.064,1.112,2502,1878,0.00489,3753.158431
CuO,Water,2.62,84.8,2.77,0.755,3819,981,0.00242,4931.60813
CuO,Oil,4.73,88.3,2.539,1.412,1035,1953,0.00526,2451.270047
SiO2,Water,2.86,47.3,2.756,0.786,3981,1112,0.00682,3534.309006
ZnO,Propylene Glycol,3.44,51.6,1.175,1.811,2276,1172,0.00696,2061.275289
Al2O3,Propylene Glycol,2.24,28.2,0.963,1.444,4229,1050,0.00378,3097.591813
TiO2,Water,4.14,56.5,1.57,1.289,1135,924,0.00314,1413.849309
Al2O3,Oil,2.7,50.2,2.155,1.01,1593,1081,0.00368,2980.186424
Al2O3,Water,2.89,26.1,1.246,1.943,2835,1337,0.00765,3107.544073
ZnO,Oil,3.87,79.5,2.12,1.208,2598,1848,0.00263,5040.692933
CuO,Water,2,69.9,0.837,1.629,2976,971,0.00715,2000.127008
CuO,Ethylene Glycol,2.29,28.2,0.29,1.496,2785,1236,0.00246,1320.54031
CuO,Water,3.58,23.6,0.867,1.404,2839,1766,0.00763,1927.095717
TiO2,Ethylene Glycol,0.5,48.4,1.746,0.974,2299,1804,0.00793,5013.59664
Al2O3,Ethylene Glycol,4.73,43.9,0.772,1.872,2274,1256,0.00086,2173.962984
ZnO,Ethylene Glycol,0.54,37.8,2.341,0.968,1153,1770,0.00911,4325.881579
CuO,Ethylene Glycol,2.83,56.9,0.518,0.63,2255,1929,0.00857,923.8003304
ZnO,Oil,3.56,46.7,0.426,0.816,1236,1163,0.00834,387.5063233
CuO,Water,3.82,24.8,1.807,0.981,3237,1283,0.00111,4555.861188
ZnO,Ethylene Glycol,1.77,78.9,2.624,1.899,881,1856,0.0086,5573.763781
CuO,Propylene Glycol,4.6,61.4,1.083,0.953,1125,1263,0.0057,715.7173201
CuO,Ethylene Glycol,2.11,39.2,2.445,0.808,4195,1414,0.00974,4178.068939
ZnO,Water,2.66,41.3,2.382,0.912,2289,1962,0.00415,5607.865356
CuO,Ethylene Glycol,1.58,73.9,0.884,1.943,1165,1090,0.00958,1710.162853
TiO2,Water,1.84,58.4,2.522,0.693,3195,1649,0.0086,4371.599576
Al2O3,Oil,3.91,73.2,1.782,1.458,2609,1786,0.00604,3363.52521
SiO2,Ethylene Glycol,3.94,70.8,1.279,0.883,4391,982,0.00717,1320.894046
TiO2,Ethylene Glycol,1.75,70.7,0.339,1.313,885,1042,0.0016,1065.24618
Al2O3,Propylene Glycol,3.68,59.4,1.332,1.708,2923,1650,0.00154,5347.720645
ZnO,Water,1.16,61,1.626,1.688,2755,1746,0.00657,6257.753071
SiO2,Water,1.51,87,1.373,0.931,3788,1600,0.00395,4947.578903
TiO2,Ethylene Glycol,3.14,55.8,0.641,1.312,1618,1522,0.00965,1087.235256
Al2O3,Water,3.99,51.8,2.569,1.923,1027,1335,0.00432,3314.950935
SiO2,Oil,3.91,65.4,0.808,1.515,1322,1683,0.00686,1272.476629
CuO,Propylene Glycol,2.02,69,2.774,1.946,1322,1301,0.00081,12310.4063
ZnO,Ethylene Glycol,2.99,44.4,1.227,1.85,3527,1004,0.00617,2647.086141
SiO2,Oil,3.08,26.1,0.652,1.035,1638,1762,0.0067,1242.262685
SiO2,Propylene Glycol,2.79,20.1,1.639,1.06,3888,1004,0.00145,4789.91229
ZnO,Ethylene Glycol,1.67,80.1,1.665,1.035,1241,990,0.00496,2341.909642
TiO2,Oil,1.38,49,0.737,1.546,3692,1913,0.00178,6313.05804
Al2O3,Oil,3.55,20,1.558,1.882,2893,1071,0.00414,3240.284121
CuO,Water,1.56,66,2.901,1.465,2698,1392,0.00944,6304.842493
ZnO,Water,1.47,38.1,1.669,1.857,4372,1592,0.0072,7353.637492
TiO2,Ethylene Glycol,2.67,23.4,0.65,1.508,1366,1714,0.00384,1990.622643
Al2O3,Propylene Glycol,4.23,56.7,0.21,1.965,1618,1556,0.00324,601.4356681
TiO2,Ethylene Glycol,0.85,45.3,2.525,1.124,1810,1486,0.00739,5490.817076
Al2O3,Ethylene Glycol,0.3,58.9,2.487,1.281,3275,954,0.00911,5307.062765
Al2O3,Oil,0.53,80.8,2.662,1.792,3387,1439,0.00556,11409.74275
ZnO,Water,0.97,22.5,0.451,1.225,3412,1793,0.00105,4703.259162
SiO2,Propylene Glycol,0.63,79.8,1.078,0.832,3975,1631,0.00581,3914.944492
Al2O3,Propylene Glycol,4.73,25.3,1.468,1.82,1170,1685,0.00347,2028.29867
SiO2,Ethylene Glycol,2.72,61.9,1.46,0.934,4272,1936,0.00757,3718.294212
ZnO,Oil,3.87,78.3,1.045,1.795,1765,1954,0.00065,5658.43663
SiO2,Ethylene Glycol,3.53,68.1,0.516,1.25,2534,1267,0.01002,796.0235166
CuO,Oil,4.8,85.2,1.367,0.81,4148,1678,0.00639,1434.371978
TiO2,Water,3.36,54,0.677,1.395,2855,1883,0.00145,3528.744413
Al2O3,Ethylene Glycol,3.22,19.8,2.379,1.623,2821,1652,0.00594,5494.807777
TiO2,Water,4.45,53.3,0.994,1.82,886,1666,0.00485,1223.799487
SiO2,Water,0.7,54.9,2.579,1.551,3424,1887,0.00068,28432.13816
Al2O3,Oil,4.46,80.4,0.288,1.709,3781,1524,0.00882,610.1950489
CuO,Propylene Glycol,4.26,50.1,1.822,1.185,2683,1726,0.00485,2799.667933
CuO,Propylene Glycol,0.52,57.3,2.739,0.882,4008,1260,0.00166,11365.06393
SiO2,Propylene Glycol,0.26,78.9,1.21,1.169,3699,1920,0.00289,8399.289913
TiO2,Propylene Glycol,0.53,85.3,2.496,0.897,1573,1235,0.00807,3937.688227
SiO2,Water,4.48,69.5,0.13,1.054,1529,1358,0.00117,337.0268184
Al2O3,Propylene Glycol,0.43,48,1.819,1.964,2547,1526,0.00249,11644.96144
ZnO,Propylene Glycol,3.34,24.9,1.899,1.786,1284,1980,0.00924,3230.043424
SiO2,Ethylene Glycol,1.72,26.7,2.85,1.595,3654,1784,0.0023,14524.2148
CuO,Oil,4.8,89.8,2.881,0.688,3634,1945,0.00108,5017.373878
SiO2,Water,3.69,46.7,1.358,0.859,4068,1468,0.00992,1791.35896
Al2O3,Water,3.88,33.8,0.539,1.637,2414,1788,0.00368,1710.984925
SiO2,Propylene Glycol,0.45,62.2,1.924,1.684,4230,1867,0.00693,10616.27
ZnO,Ethylene Glycol,1.39,82.5,1.3,1.737,1136,1076,0.00513,2839.529713
TiO2,Propylene Glycol,3.07,78.4,2.979,1.247,3712,1913,0.00635,7247.537899
Al2O3,Propylene Glycol,3.94,66.9,2.463,0.968,2944,1289,0.00198,4388.63099
ZnO,Ethylene Glycol,4.78,27.9,1.258,1.375,2447,1612,0.00115,2940.140429
TiO2,Propylene Glycol,4.73,51.7,2.584,1.031,2102,1722,0.00931,1862.172468
SiO2,Water,2.84,31.3,2.273,1.395,3083,1837,0.00383,6844.582329
Al2O3,Ethylene Glycol,0.18,43.3,0.816,1.779,2042,1477,0.00854,3216.542422
SiO2,Ethylene Glycol,0.69,22.2,1.821,1.242,2000,960,0.00819,3286.601611
CuO,Propylene Glycol,1.01,37.9,2.024,1.694,1913,1153,0.00397,5883.867081
TiO2,Water,3.89,64.4,1.266,1.543,2967,879,0.00516,1761.754734
CuO,Water,2.19,29.8,1.598,1.976,4060,1687,0.00513,7283.467765
ZnO,Ethylene Glycol,1.44,49.5,0.875,1.655,2810,1314,0.00215,4859.902436
TiO2,Oil,3.96,42.8,2.423,1.313,3188,1288,0.00749,3074.260819
SiO2,Water,4.79,25.5,1.773,0.924,2303,1962,0.00212,2700.737691
TiO2,Water,0.66,32.6,2.635,1.377,1094,934,0.00366,4754.474406
TiO2,Water,4.2,80,1.099,1.446,3560,1493,0.00323,2412.851241
TiO2,Water,4.77,84.7,1.167,1.149,3639,1420,0.00647,1322.956426
Al2O3,Ethylene Glycol,4.45,74.2,0.518,1.185,3238,1385,0.00767,734.7336052
ZnO,Water,1.14,84.9,0.677,1.868,3016,1812,0.0058,3978.141826
CuO,Water,1.5,61.4,1.366,1.738,2845,1455,0.00724,4742.386841
TiO2,Oil,0.23,73.8,1.908,1.161,3245,1030,0.00684,4827.198145
ZnO,Water,2.15,74.1,2.598,1.981,1081,1406,0.00075,12200.16228
CuO,Propylene Glycol,0.45,51.9,2.511,1.149,3514,945,0.00201,8956.562402
TiO2,Propylene Glycol,2.03,78.3,0.956,1.712,4541,1870,0.00436,5622.591958
CuO,Ethylene Glycol,1.23,72.5,0.654,1.587,3940,949,0.00431,2470.569391
Al2O3,Oil,3.16,62.8,1.459,1.17,3234,1357,0.00173,4620.901922
SiO2,Oil,3.74,49.1,0.216,1.137,1731,1787,0.00206,751.3977097
TiO2,Oil,3.03,86.8,0.812,1.55,3209,1206,0.00419,2185.434565
CuO,Propylene Glycol,2.47,37.2,1.317,0.656,4011,1219,0.00078,4985.74049
CuO,Water,1.93,21.7,1.552,0.807,1218,1364,0.00253,3037.803129
SiO2,Propylene Glycol,1.35,57.6,0.605,1.798,3071,1567,0.00492,3348.628366
ZnO,Propylene Glycol,0.71,22.7,1.902,0.917,2974,1658,0.0053,6001.273602
TiO2,Water,3.97,70.4,0.496,1.111,2520,1717,0.00177,1483.385795
SiO2,Water,3,36.9,0.42,0.977,2877,1867,0.00682,1163.601792
CuO,Oil,1.42,39.8,0.734,1.775,3187,1263,0.00231,4250.356357
CuO,Propylene Glycol,2.15,43.1,2.231,1.229,3246,968,0.00659,3674.206603
Al2O3,Oil,1.78,32.9,0.314,1.856,1299,1271,0.00204,1514.274213
ZnO,Ethylene Glycol,2.18,69.5,0.361,1.916,1030,1119,0.00446,967.3326035
TiO2,Propylene Glycol,1.95,47.5,2.726,1.86,2083,1315,0.00103,13642.62175
ZnO,Oil,2.51,33.5,0.275,0.858,2415,1127,0.0096,461.2138242
CuO,Ethylene Glycol,1.76,29.9,0.271,1.702,895,1528,0.00738,776.2399025
Al2O3,Ethylene Glycol,3.1,65.9,2.65,1.714,1927,1641,0.00595,5322.070532
CuO,Oil,3.25,31.9,0.793,1.414,850,1780,0.00084,3005.912084
SiO2,Oil,4.14,21.9,1.14,1.046,865,1325,0.00614,883.0609469
TiO2,Propylene Glycol,0.7,47.1,0.519,1.328,1549,1852,0.00385,2536.500151
SiO2,Ethylene Glycol,0.16,70.5,1.099,1.963,4364,1255,0.0019,9429.924715
TiO2,Propylene Glycol,0.51,73.9,2.631,1.457,3572,1489,0.00771,9176.488295
CuO,Oil,3.23,36.6,2.922,1.667,2068,1313,0.00557,5009.708744
TiO2,Water,0.65,25.9,1.298,1.629,1691,1588,0.00215,7148.674717
Al2O3,Oil,3.27,73.7,2.433,1.271,3425,951,0.00421,3798.446548
ZnO,Oil,0.79,64.6,2.704,0.99,3771,1034,0.00449,6646.899475
Al2O3,Water,0.45,85.4,2.027,1.065,2193,1853,0.0006,16756.74584
CuO,Propylene Glycol,1.76,71.5,1.403,1.911,4412,941,0.00849,3600.70737
ZnO,Water,1.56,64.3,2.312,0.646,903,1576,0.00157,4811.556711
ZnO,Water,1.88,61.2,0.366,0.649,2462,1691,0.00852,787.0841821
TiO2,Ethylene Glycol,4.75,64,1.967,1.886,3058,1731,0.00526,3240.591741
ZnO,Oil,0.15,33.5,0.232,1.829,2851,1880,0.00411,2285.83123
Al2O3,Propylene Glycol,1.05,25.8,1.637,0.721,4161,1284,0.00127,7467.079332
SiO2,Oil,3.91,47.7,0.407,1.678,4132,984,0.00738,761.9851089
SiO2,Ethylene Glycol,4.75,67.4,2.727,1.002,3694,1633,0.00232,4139.743042
ZnO,Oil,0.36,47.1,0.458,1.467,1710,1579,0.00942,1683.729731
TiO2,Ethylene Glycol,3.07,85.9,2.457,0.953,1500,1172,0.00955,2063.913349
Al2O3,Propylene Glycol,0.98,34.7,2.331,1.639,2793,1054,0.00218,9413.480286
ZnO,Ethylene Glycol,2.56,27.5,1.642,1.864,1999,1392,0.0046,4535.254499
ZnO,Water,1.06,73.5,0.63,1.565,3760,1112,0.00662,2407.978422
CuO,Ethylene Glycol,4.82,24.1,2.157,0.818,1339,1375,0.00857,993.6303701
SiO2,Ethylene Glycol,0.96,27.9,1.468,1.187,2182,1840,0.00393,5630.777805
Al2O3,Ethylene Glycol,0.76,79.9,2.757,1.247,950,1088,0.00074,9633.952199
CuO,Water,2.21,82.2,0.646,0.666,2912,1974,0.00624,1669.61559
TiO2,Ethylene Glycol,2.05,55.8,1.449,1.395,1473,1161,0.00373,3138.107648
Al2O3,Water,0.43,80.7,2.832,1.107,3370,1480,0.00322,11355.27167
ZnO,Ethylene Glycol,3.24,58.2,2.705,0.883,2552,1812,0.00599,4270.066199
SiO2,Water,2.64,46.5,0.171,1.578,4103,1150,0.00958,541.0381
SiO2,Water,2.77,82.2,2.94,1.573,2161,1137,0.00052,12898.10339
Al2O3,Propylene Glycol,2.62,51.2,2.315,1.189,1714,1679,0.00752,3932.822719
CuO,Oil,0.15,82.9,2.192,1.726,2917,1374,0.00435,10025.47891
Al2O3,Water,2.81,33.4,0.743,1.787,1554,1274,0.00886,1425.561932
CuO,Ethylene Glycol,1.04,87.5,2.454,0.929,4346,1416,0.00749,6384.015286
CuO,Oil,1.95,51.1,2.396,0.731,4270,1368,0.00147,7914.099465
SiO2,Oil,3.25,41.7,0.354,0.708,3788,1590,0.00759,718.0813337
Al2O3,Propylene Glycol,4.57,42.3,0.21,0.596,4011,1945,0.00849,301.1424521
SiO2,Ethylene Glycol,3.21,76.7,0.702,1.7,2395,1735,0.00415,2259.833434
TiO2,Propylene Glycol,0.72,60.9,1.325,1.739,4045,1253,0.00408,6443.663962
Al2O3,Ethylene Glycol,4.23,44.2,0.541,1.488,2151,1914,0.00404,1321.412687
Al2O3,Propylene Glycol,3.2,86.6,1.411,1.38,2796,1629,0.00118,6275.097274
TiO2,Water,3.31,22.1,1.018,1.061,2061,1940,0.00535,2215.292295
TiO2,Propylene Glycol,4.53,62.9,2.299,0.958,2309,1983,0.00713,2461.887176
ZnO,Oil,0.17,78,0.33,1.024,3496,1726,0.00582,1818.40815
ZnO,Ethylene Glycol,4.83,42.5,2.888,1.847,847,1391,0.00499,2112.964351
CuO,Propylene Glycol,0.24,85.1,3.012,1.971,4195,1658,0.00933,13666.49926
Al2O3,Propylene Glycol,3.29,36.5,2.655,1.59,1769,1001,0.00799,2878.798117
ZnO,Oil,3.4,75,0.188,1.264,2502,1520,0.00747,459.4016578
ZnO,Oil,1.27,58.5,0.18,1.305,2632,1481,0.00849,741.5556594
ZnO,Oil,1.08,63.1,1.049,0.779,1914,960,0.00321,2138.666938
CuO,Oil,3.02,87.5,2.619,0.805,2072,1021,0.00656,2406.802726
Al2O3,Oil,0.97,26,1.884,0.885,4300,1666,0.00388,7413.995004
TiO2,Oil,1.28,34.9,0.251,1.325,3440,1481,0.0074,1085.390511
TiO2,Water,0.92,38.6,1.859,1.5,3483,1801,0.00579,8531.418558
Al2O3,Propylene Glycol,1.43,27.9,2.725,1.709,2186,1055,0.00091,13024.44999
TiO2,Oil,1.86,59.5,0.109,0.879,3736,1847,0.00946,432.7984876
SiO2,Propylene Glycol,2.08,65.1,0.611,1.505,1658,1150,0.00272,1910.867116
SiO2,Ethylene Glycol,3.44,22.8,0.809,1.729,4294,1761,0.0067,2606.747675
SiO2,Ethylene Glycol,1.71,71.4,1.076,1.898,1555,1452,0.00582,3344.553163
ZnO,Ethylene Glycol,1.86,36.8,2.796,0.644,1784,1325,0.00182,5643.114598
SiO2,Propylene Glycol,2.65,44.2,1.659,1.663,3025,1107,0.00773,3345.319501
CuO,Oil,1.27,69.8,2.226,1.993,1278,1766,0.00883,6117.873955
CuO,Oil,0.85,85.4,0.491,1.995,4171,1455,0.00314,4159.513722
TiO2,Oil,1.15,50.9,1.941,1.833,4407,955,0.00976,5159.194136
SiO2,Propylene Glycol,1.73,49.7,0.969,1.109,2952,1755,0.01,2698.896572
TiO2,Oil,4.09,77.8,1.493,0.634,4374,1286,0.00169,2577.865673
CuO,Ethylene Glycol,3.04,68,1.937,0.822,1604,1941,0.00245,4312.714598
CuO,Water,3.85,71.2,1.992,1.988,3079,1902,0.0076,4658.410951
CuO,Oil,2.34,78.5,2.235,1.746,1520,1758,0.0082,4747.620313
TiO2,Oil,2.9,43.6,2.185,1.03,3972,1075,0.00072,8108.359501
Al2O3,Propylene Glycol,3.22,54.5,2.186,1.17,2688,1700,0.00247,6130.59688
SiO2,Oil,2.84,64.8,1.573,1.05,1647,1536,0.00423,2958.891896
ZnO,Propylene Glycol,0.9,58.8,1.239,1.716,2864,1696,0.00685,5488.084227
ZnO,Propylene Glycol,1.17,65.5,2.28,0.976,3988,1775,0.00191,12205.78724
TiO2,Propylene Glycol,4.9,64.9,1.864,1.022,2432,1214,0.00394,1550.375948
ZnO,Water,1.11,58.6,2.287,1.805,1280,1647,0.00886,5491.204189
TiO2,Water,0.81,33.5,2.375,0.793,2937,1337,0.00581,5376.856477
CuO,Oil,3.28,27.2,2.898,1.752,3869,1361,0.00601,6549.87888
TiO2,Oil,4.33,52.8,2.991,1.036,4344,1881,0.00624,4364.385021
SiO2,Water,3.66,69.2,2.729,0.651,3284,1898,0.00559,3866.679616
Al2O3,Oil,3.24,58.4,0.49,1.936,1216,1806,0.00936,1092.449308
TiO2,Ethylene Glycol,1.37,26.8,2.761,1.379,3092,1654,0.00598,8964.300423
SiO2,Water,2.75,64.7,1.97,0.865,3446,1036,0.00169,4573.980563
TiO2,Ethylene Glycol,1.78,44.3,0.567,0.948,1101,1032,0.00503,895.8193652
ZnO,Oil,3.91,62.2,0.821,1.867,1957,1050,0.00519,1302.413742
SiO2,Water,2.31,70.2,1.671,0.96,2532,1213,0.00953,2384.329885
ZnO,Ethylene Glycol,1.82,81.9,2.583,1.826,2293,1420,0.00327,9335.850872
ZnO,Water,3.65,48.8,2.836,1.891,2786,1900,0.00587,6531.376089
ZnO,Ethylene Glycol,0.28,74.1,0.475,1.469,2909,1617,0.00727,2344.710173
ZnO,Oil,0.57,33.2,2.35,1.369,3828,1331,0.00332,10475.4937
TiO2,Oil,0.99,63.4,1.647,1.714,3874,1611,0.00961,6434.074054
CuO,Propylene Glycol,1.29,81,1.145,1.252,1162,1410,0.00331,3222.431125
SiO2,Water,3.43,69.4,0.199,0.699,3848,1865,0.00601,550.4600694
TiO2,Water,2.04,66.9,2.702,1.246,4302,1891,0.00704,8527.27923
CuO,Propylene Glycol,1.29,33.3,2.446,1.494,3659,1114,0.00129,12699.11301
Al2O3,Oil,1.44,76.8,2.487,0.86,1492,1029,0.00732,2920.733313
Al2O3,Propylene Glycol,2.45,26.1,1.695,1.789,1561,1974,0.00939,4034.806696
SiO2,Propylene Glycol,0.75,20,1.095,0.682,1973,1182,0.00435,2134.812146
TiO2,Ethylene Glycol,3.27,72.9,0.571,1.272,2984,1911,0.00066,4202.27656
SiO2,Oil,4.82,77.7,0.282,0.606,2571,1098,0.00431,234.3835595
Al2O3,Ethylene Glycol,1.67,40.1,2.447,1.801,3974,1970,0.00571,11028.37521
Al2O3,Water,0.42,50.6,0.434,1.475,3379,1663,0.00075,5871.367789
TiO2,Water,3.2,46,0.947,0.683,2317,1091,0.00143,1736.531127
Al2O3,Oil,0.87,46.7,1.255,1.822,3392,1305,0.00551,5471.093123
TiO2,Ethylene Glycol,0.95,40.3,1.295,1.037,3166,1171,0.00571,3482.785876
ZnO,Water,4.98,68.4,1.976,1.841,1745,1082,0.00824,1290.488354
SiO2,Water,3.09,76,1.22,1.296,821,969,0.00721,1044.674754
Al2O3,Propylene Glycol,0.75,73.8,2.01,1.861,3741,1222,0.00102,15164.97078
SiO2,Propylene Glycol,4.36,51.4,2.847,1.206,1207,1526,0.00532,2516.572843
ZnO,Water,3.78,66.7,2.113,0.962,1069,957,0.00837,1160.204745
CuO,Ethylene Glycol,2.19,85,1.959,0.985,2803,1273,0.0096,3042.208601
TiO2,Ethylene Glycol,2.2,66.2,2.365,0.718,2534,1158,0.00788,2816.135544
Al2O3,Propylene Glycol,0.58,32.1,0.462,0.756,3481,1161,0.00608,1344.362351
TiO2,Water,2.94,38.4,2.293,1.547,2985,1463,0.00232,7678.246571
ZnO,Propylene Glycol,3.68,86.8,2.769,1.253,4147,1572,0.002,7601.394592
SiO2,Oil,4.68,22.1,2.54,0.737,3400,1347,0.00264,2525.500486
TiO2,Ethylene Glycol,4.25,32.3,1.87,1.95,3655,1905,0.00183,7164.4615
ZnO,Water,4.15,44.5,1.515,1.895,4503,1774,0.00478,4381.975774
CuO,Propylene Glycol,0.68,71.6,1.345,0.917,2574,1130,0.00707,2712.977303
TiO2,Ethylene Glycol,0.96,34.8,1.141,1.734,3886,1013,0.0011,7491.482551
SiO2,Water,1.07,35.4,2.948,1.689,951,1556,0.00212,10214.82772
ZnO,Oil,0.64,87.1,1.248,1.511,4265,916,0.0054,4170.531047
CuO,Propylene Glycol,1.38,70.8,2.761,1.194,2879,1312,0.00444,7468.757038
TiO2,Propylene Glycol,0.95,25,0.696,1.451,2505,1905,0.00399,3799.512458
SiO2,Oil,4.32,21.9,2.402,0.842,3507,1912,0.00153,5326.154377
SiO2,Propylene Glycol,0.72,75.7,1.828,1.315,2792,1569,0.00345,7876.848199
CuO,Ethylene Glycol,0.18,31,0.768,1.475,933,1800,0.0069,2536.086178
TiO2,Ethylene Glycol,1.27,33.3,1.934,1.527,3209,1435,0.00865,5925.344399
CuO,Oil,4.92,49.1,0.518,0.846,3541,1919,0.00871,598.7548381
ZnO,Ethylene Glycol,1.64,57.2,1.527,1.631,4120,1756,0.00712,6589.150689
Al2O3,Propylene Glycol,1.06,50.1,1.407,1.537,1823,1685,0.00973,3937.765905
SiO2,Oil,4.79,67.9,0.471,1.733,1101,1839,0.00527,672.9050253
TiO2,Water,0.1,65.8,0.496,1.765,2186,1593,0.00444,2927.096382
TiO2,Propylene Glycol,1.9,21.4,2.24,1.67,2849,1141,0.00482,6032.064501
CuO,Water,4.16,34.4,0.746,1.271,3811,1672,0.0014,2814.26274
SiO2,Propylene Glycol,4.63,26.4,2.334,1.749,1335,1230,0.00665,1925.401925
TiO2,Water,3.27,82,1.287,1.976,4080,979,0.00291,3799.34347
CuO,Water,3.55,55.2,1.212,0.848,1625,969,0.00945,862.5218655
TiO2,Oil,2.17,83.5,2.46,1.034,2492,1948,0.00688,5797.581699
CuO,Oil,0.29,56,0.39,1.028,3183,1969,0.00088,4800.038461
SiO2,Propylene Glycol,1.06,63.8,0.562,0.997,2213,1396,0.00841,1469.191646
Al2O3,Water,2.64,24.4,0.376,1.444,3938,1901,0.00554,1845.679866
SiO2,Water,2.56,84,0.674,1.229,1897,1980,0.00115,3625.594861
CuO,Ethylene Glycol,0.33,79.5,1.077,1.448,3511,1525,0.00227,7618.99963
TiO2,Oil,0.35,37.7,1.348,1.253,3288,1326,0.00704,4639.862645
SiO2,Water,2.03,86.2,1.661,1.753,3378,1686,0.00962,5130.569282
SiO2,Ethylene Glycol,0.29,32.7,1.899,1.431,2987,1987,0.0081,7855.480181
TiO2,Ethylene Glycol,4.38,24.6,2.268,0.995,1921,1961,0.00056,6702.393118
ZnO,Ethylene Glycol,4.13,87.3,0.562,0.941,2751,1829,0.00758,889.3318211
TiO2,Oil,0.71,43,2.702,1.734,2113,1052,0.00326,8718.408352
ZnO,Water,1.53,78.9,1.535,1.09,4459,1145,0.00258,5807.6829
CuO,Propylene Glycol,2.93,46.1,1.078,0.6,2935,1238,0.00767,1211.318979
CuO,Ethylene Glycol,4.35,56.7,2.249,1.485,2758,1614,0.0055,3333.487169
CuO,Propylene Glycol,2.85,36.5,2.003,0.795,1212,1272,0.00152,3586.272034
ZnO,Oil,3.12,66.3,1.674,1.529,2800,1202,0.00767,2850.564313
Al2O3,Oil,2.07,41.1,0.64,1.921,3013,1009,0.00494,2016.96372
Al2O3,Propylene Glycol,1.96,27.4,2.395,1.178,2330,1468,0.00342,6669.742086
CuO,Oil,3.37,69.2,2.582,1.843,2664,1216,0.00214,6928.2957
SiO2,Oil,0.27,59.7,2.277,1.861,1926,1074,0.01009,5383.683312
ZnO,Oil,2.1,30.7,1.451,1.735,1117,1698,0.00193,5432.640909
TiO2,Propylene Glycol,3.39,64.6,1.071,1.32,3481,1641,0.00076,6029.958807
ZnO,Oil,4.3,76.4,0.279,1.381,3181,1406,0.01,464.7931004
TiO2,Water,1.36,22.5,0.568,1.534,848,1764,0.00185,2744.444991
ZnO,Water,4.03,48.7,2.192,1.725,1176,1400,0.00143,4515.087843
ZnO,Propylene Glycol,3.22,48.2,1.1,1.262,2382,1389,0.00492,2242.089957
ZnO,Water,0.93,84.7,0.887,1.777,1794,1410,0.00958,2527.773615
CuO,Water,0.71,82.4,2.207,1.372,854,1035,0.00909,2891.326593
TiO2,Propylene Glycol,0.21,81.4,2.392,0.883,1253,1320,0.00184,6639.387041
TiO2,Oil,2.66,75.2,1.348,1.391,2430,1846,0.00351,4671.371446
CuO,Propylene Glycol,4.12,53.2,0.556,1.819,2513,1012,0.00704,825.9707416
ZnO,Propylene Glycol,0.27,80.2,2.929,0.999,3494,1593,0.00524,10038.17985
ZnO,Propylene Glycol,0.82,34,2.296,1.874,864,1088,0.00108,8687.77149
SiO2,Ethylene Glycol,2.89,38,0.922,1.517,3808,1141,0.00925,1838.485909
CuO,Water,1.79,64.5,0.748,1.804,1229,1731,0.0075,2249.468833
ZnO,Oil,2.56,61.2,0.478,0.947,3592,1084,0.00987,857.7405944
Al2O3,Water,3.79,37,1.077,1.801,2414,1293,0.0012,3751.273417
CuO,Water,1.32,57.7,1.326,0.852,3914,1020,0.00128,5386.40573
Al2O3,Ethylene Glycol,0.32,67.8,0.521,1.851,2250,1988,0.00404,3859.292008
TiO2,Oil,2.67,55.8,1.553,0.698,1419,1713,0.00835,1898.946212
SiO2,Propylene Glycol,3.99,72.5,2.556,1.75,2000,1684,0.00796,3752.99757
SiO2,Water,1.72,57.7,0.604,0.949,4483,1570,0.00369,2690.054655
SiO2,Oil,3.01,83.5,0.454,0.844,2080,1348,0.00323,1023.834439
CuO,Oil,4.17,63.8,1.388,1.022,2532,1264,0.00418,1826.203558
ZnO,Propylene Glycol,4.22,85.3,1.911,0.919,3550,1842,0.00671,2613.157609
TiO2,Oil,4.61,52.7,2.454,0.89,2657,1411,0.00159,3210.021446
CuO,Water,2.58,77.2,2.041,1.135,3515,1184,0.00596,3903.657703
TiO2,Oil,3.76,68.8,2.865,1.644,1910,900,0.00886,2451.895691
CuO,Propylene Glycol,0.89,84.1,1.866,0.622,1360,1620,0.00361,3954.584672
CuO,Propylene Glycol,3.55,36,2.443,0.88,1565,1048,0.00268,2704.109189
ZnO,Propylene Glycol,1.41,43.7,2.189,1.94,1926,1244,0.00979,4895.202269
ZnO,Water,0.32,42.6,2.957,1.667,1439,1597,0.00343,11258.10277
SiO2,Propylene Glycol,4.73,45.7,2.714,0.735,4314,1349,0.00166,3583.239941
ZnO,Oil,4.72,28.2,2.377,1.651,3142,1782,0.00354,4361.991672
TiO2,Water,4.46,83.6,1.628,1.916,4245,1191,0.00485,2690.618112
TiO2,Propylene Glycol,4.48,32.9,0.88,1.569,1755,1159,0.00962,772.9449701
Al2O3,Propylene Glycol,2.46,34,2.607,1.045,3769,1532,0.00195,9163.448411
ZnO,Ethylene Glycol,0.54,68.1,0.413,1.982,1288,1714,0.00499,2197.37703
